impl,mode,bytes,proc_ms,io_ms,VmRSS_KiB,alpha,align,misalign
cuda,lower,32768,133.639,0.233119,98652,80,32,0
serial,upper,32768,0.107,0.090,3504,80,32,7
cuda,upper,32768,135.448,0.236226,98028,80,32,7
serial,lower,32768,0.180,0.169,3420,80,32,7
cuda,lower,32768,132.418,0.256872,98600,80,32,7
serial,upper,32768,0.161,0.146,3332,90,32,0
cuda,upper,32768,131.539,0.247164,98604,90,32,0
serial,lower,32768,0.118,0.121,3380,90,32,0
cuda,lower,32768,130.464,0.253305,98716,90,32,0
serial,upper,32768,0.113,0.100,3504,90,32,7
cuda,upper,32768,135.667,0.228121,98620,90,32,7
serial,lower,32768,0.114,0.098,3548,90,32,7
cuda,lower,32768,133.909,0.254328,98320,90,32,7
serial,upper,65536,0.034,0.138,3676,0,32,0
cuda,upper,65536,133.062,0.415838,98592,0,32,0
serial,lower,65536,0.047,0.139,3468,0,32,0
cuda,lower,65536,131.955,0.33936,98428,0,32,0
serial,upper,65536,0.034,0.111,3428,0,32,7
cuda,upper,65536,131.681,0.327179,98328,0,32,7
serial,lower,65536,0.047,0.133,3572,0,32,7
cuda,lower,65536,131.578,0.33912,98548,0,32,7
serial,upper,65536,0.060,0.158,3548,10,32,0
cuda,upper,65536,134.012,0.326286,98552,10,32,0
serial,lower,65536,0.067,0.138,3540,10,32,0
cuda,lower,65536,134.972,0.345682,98484,10,32,0
serial,upper,65536,0.047,0.153,3636,10,32,7
cuda,upper,65536,131.318,0.315808,98748,10,32,7
serial,lower,65536,0.060,0.180,3500,10,32,7
cuda,lower,65536,132.951,0.393588,98688,10,32,7
serial,upper,65536,0.076,0.128,3640,20,32,0
cuda,upper,65536,132.215,0.315498,98712,20,32,0
serial,lower,65536,0.076,0.121,3620,20,32,0
cuda,lower,65536,131.084,0.377349,98616,20,32,0
serial,upper,65536,0.075,0.171,3548,20,32,7
cuda,upper,65536,131.342,0.366259,98560,20,32,7
serial,lower,65536,0.125,0.124,3512,20,32,7
cuda,lower,65536,131.282,0.341605,98484,20,32,7
serial,upper,65536,0.087,0.126,3672,30,32,0
cuda,upper,65536,131.203,0.360409,98440,30,32,0
